世界	9930
时间	9117
天空	8628
时候	8255
阳光	7215
身体	6871
声音	6711
母亲	6683
眼睛	6669
现在	6249
春天	6240
孩子	6135
父亲	5899
女人	5839
太阳	5754
最后	5606
无法	5572
地方	5323
灵魂	4954
人们	4682
影子	4500
大地	4491
石头	4381
城市	4249
月亮	4161
之后	4031
过去	3959
爱情	3920
夜晚	3865
日子	3845
诗人	3588
之间	3557
记忆	3502
黄昏	3502
今天	3494
黑夜	3482
正在	3350
冬天	3309
秋天	3277
名字	3261
月光	3223
男人	3177
身上	3057
消失	3041
想象	3006
远方	2993
东西	2914
感觉	2898
空气	2880
人类	2851
历史	2847
美丽	2845
翅膀	2833
时光	2809
内心	2797
大海	2716
河流	2696
妻子	2672
下来	2653
岁月	2653
之前	2622
语言	2608
路上	2588
人间	2578
朋友	2577
地上	2572
事物	2554
黑色	2546
土地	2534
命运	2466
窗外	2430
故事	2380
白色	2364
故乡	2361
星星	2356
安静	2341
秘密	2327
夏天	2248
叶子	2225
方向	2223
季节	2204
花朵	2188
下午	2176
女儿	2172
时代	2172
心里	2171
诗歌	2166
目光	2151
泥土	2145
深处	2138
火焰	2132
里面	2102
回家	2077
未来	2068
雨水	2038
上帝	2026
手指	2011
早晨	2008
思想	1985
蝴蝶	1985
青春	1961
人生	1958
中国	1948
样子	1939
阴影	1923
颜色	1920
泪水	1905
生长	1893
后来	1890
文字	1838
儿子	1837
村庄	1829
陌生	1827
房间	1821
镜子	1817
肉体	1807
如今	1802
风景	1768
妈妈	1767
树叶	1767
头发	1760
人群	1757
落叶	1752
玻璃	1749
耳朵	1721
明天	1718
飞翔	1710
身边	1690
道路	1680
房子	1679
事情	1676
骨头	1676
蓝色	1668
面前	1658
瞬间	1652
脸上	1651
全部	1644
黎明	1635
时刻	1633
问题	1632
之外	1613
童年	1606
以后	1597
过来	1592
远处	1591
夜里	1589
宇宙	1580
火车	1579
脚步	1577
双手	1574
心中	1569
天上	1564
眼泪	1547
疼痛	1544
上面	1539
红色	1533
之上	1532
天堂	1531
写诗	1528
万物	1527
玫瑰	1521
清晨	1520
眼神	1519
歌唱	1518
绿色	1516
习惯	1511
我会	1507
无人	1493
心灵	1473
衣服	1472
头顶	1465
流水	1463
光芒	1454
地球	1444
夜色	1442
森林	1439
少女	1437
音乐	1426
今夜	1423
老人	1419
力量	1417
体内	1413
明白	1412
古老	1411
后面	1409
距离	1408
意义	1399
空中	1397
晚上	1383
光明	1374
梦想	1374
夕阳	1368
眼前	1363
中间	1356
灯光	1355
草原	1332
嘴唇	1329
街道	1323
外面	1322
父母	1311
蚂蚁	1307
现实	1302
下去	1301
昨天	1293
桃花	1283
方式	1280
白云	1277
以前	1276
身后	1275
心脏	1270
兄弟	1269
水面	1267
背后	1266
白天	1258
广场	1256
伤口	1255
落日	1251
皮肤	1247
种子	1247
姑娘	1243
植物	1237
空间	1235
味道	1205
有点	1205
羽毛	1203
北方	1194
田野	1193
精神	1193
宁静	1188
歌声	1188
身子	1186
光线	1172
傍晚	1167
河水	1166
表情	1164
头颅	1162
词语	1159
气息	1158
树木	1157
苹果	1150
秋风	1145
思念	1144
血液	1135
麻雀	1127
心情	1125
床上	1119
乌鸦	1117
电话	1113
屋顶	1104
脚下	1104
漫长	1101
梦境	1097
南方	1096
经历	1094
云朵	1088
雪花	1087
学会	1081
鸟儿	1081
手中	1080
大家	1071
尘埃	1069
窗户	1065
海洋	1062
身影	1060
真理	1059
北京	1057
国家	1050
战争	1049
姿势	1045
风暴	1041
树枝	1039
一棵树	1029
下面	1025
天地	1025
女子	1025
手机	1024
舌头	1024
天气	1022
灰尘	1022
人民	1019
水中	1017
海水	1017
长大	1014
花瓣	994
春风	993
旁边	992
牙齿	991
动物	986
饥饿	986
祖国	976
深夜	974
午后	973
灰烬	971
部分	970
树林	969
女孩	967
幻想	966
阳台	964
地面	962
情人	958
墙上	957
对面	953
大雪	952
年代	951
枝头	950
流浪	949
赞美	948
家里	941
乳房	938
风雨	938
窗口	937
小心	933
传说	930
速度	930
椅子	925
边缘	921
昨夜	916
去年	914
花园	911
面孔	909
角落	908
爱人	907
前面	901
新鲜	899
英雄	898
沙漠	895
小时	891
墙壁	889
树上	884
世纪	883
草地	873
主人	869
周围	867
游戏	865
草木	865
背影	864
气味	861
门口	860
星空	859
激情	858
理由	858
星光	857
亲人	856
脚印	854
青草	852
天使	849
消息	848
金黄	845
早上	844
波浪	839
关系	833
手臂	833
尘世	829
手里	828
信仰	826
谎言	825
家乡	824
结果	824
呼唤	823
眼里	822
开花	821
门前	821
岩石	820
色彩	819
午夜	816
金色	813
灰色	812
黄金	811
低头	810
张开	809
光阴	808
空旷	807
钟声	807
过程	802
深渊	799
地下	798
大街	794
旷野	794
诗句	794
脑袋	793
乌云	792
婴儿	792
山坡	792
从前	791
智慧	790
额头	790
五月	789
平原	785
乡村	783
之下	782
灯火	781
躯体	780
爸爸	776
舞蹈	775
意识	772
头上	767
李白	766
暮色	765
证明	765
废墟	762
蓝天	762
星辰	757
理想	755
散步	754
模样	754
医院	752
老师	750
炊烟	747
山上	746
汽车	746
过后	741
形状	738
世上	737
浪花	736
尾巴	734
喉咙	732
脖子	730
情绪	727
最初	727
群山	725
自行车	723
钥匙	723
心事	722
路边	718
流泪	717
节奏	716
江南	712
动作	711
鸽子	711
山谷	710
湖水	710
痕迹	710
地狱	707
山顶	707
街上	707
远去	704
院子	703
手掌	701
皱纹	701
当年	699
鲜花	699
内部	698
声响	694
温度	693
先生	692
笑容	692
照片	688
中心	686
重量	686
芬芳	685
今年	683
姿态	683
今日	681
尘土	681
屁股	677
沙滩	675
怀里	672
空虚	671
公园	670
飞机	670
中年	668
人世	667
垃圾	667
热情	667
风声	667
小镇	664
嘴巴	662
笑声	662
小时候	661
尸体	661
海上	660
布满	654
窗前	654
艺术	653
街头	651
身躯	651
咖啡	648
明月	648
夜空	645
小孩	645
世间	643
天下	643
建筑	641
嘴里	640
敌人	640
眼中	639
暴雨	637
医生	635
静静	635
全都	634
原谅	633
空白	633
祝福	632
白昼	631
月色	630
昨日	628
意志	627
电影	625
前世	624
学校	624
唱歌	623
教堂	622
蜜蜂	622
碎片	621
死者	619
陌生人	619
高度	619
衣裳	617
悬崖	615
形象	614
飞鸟	614
倒影	613
缝隙	610
祖先	609
露珠	609
粮食	606
亲吻	605
文明	602
中央	601
无力	599
今晚	597
对方	597
食物	597
人家	596
原野	596
肉身	596
错误	596
单位	595
杯子	594
白发	593
意思	592
中午	591
口袋	590
天边	588
虚构	588
黄河	586
夏日	583
代表	581
香气	580
东方	578
口罩	578
池塘	578
泡沫	575
句子	574
羊群	574
玉米	573
向前	569
岛屿	568
窗帘	568
电视	566
大雨	565
大风	564
情感	564
行人	563
野花	563
地平线	562
最近	562
金属	561
麦子	561
肩膀	560
一朵花	559
右手	558
燕子	558
弟弟	557
微风	557
山水	556
岸边	555
事儿	554
家园	554
桌子	554
底下	553
机会	553
地图	550
河边	550
芦苇	550
走路	550
黄色	550
马路	549
奶奶	548
水泥	547
老虎	547
年龄	542
空洞	542
长发	542
视线	540
音符	540
骨骼	540
木头	539
美的	539
形式	536
胸膛	536
鞋子	536
门外	535
屋子	533
报纸	533
子弹	532
手上	531
沧桑	531
爷爷	530
产生	528
空空	528
静默	528
幻觉	527
酒杯	526
青年	526
凌晨	525
汗水	525
结局	525
妹妹	524
上午	523
姐姐	523
小路	523
当时	522
野草	521
开口	518
话语	518
大片	517
海边	517
物质	516
落地	515
学生	514
胸口	513
厨房	512
神圣	512
细小	512
七月	511
关心	511
感情	511
脸庞	511
奇迹	510
伤心	509
肌肤	509
虚空	509
鼻子	509
台阶	508
庄稼	508
旗帜	506
舞台	506
全身	505
路灯	504
时空	503
社会	503
本来	501
老鼠	501
小鸟	500
漩涡	500
高原	500
书写	499
窗子	498
无辜	497
坟墓	496
身旁	496
鲜血	496
个人	495
水里	494
灾难	494
虫子	493
彩虹	492
体温	491
对话	490
神经	490
总会	489
海浪	489
隔壁	489
波涛	488
假装	487
细节	487
面具	486
冷漠	485
江水	485
芳香	485
通向	484
左边	483
抒情	482
心底	480
农民	478
紫色	478
雪地	478
办法	477
老婆	475
身份	475
洪水	474
言语	474
列车	473
过往	473
墓碑	472
正午	472
秩序	472
日夜	471
前方	470
桌上	470
面容	470
江山	469
背景	467
野兽	464
今生	463
冬日	462
细雨	462
目的	461
同事	460
天天	460
政治	460
肚子	460
宿命	459
事实	458
树梢	457
雨滴	456
众人	455
六月	455
哭声	455
小区	455
葡萄	454
附近	453
飞舞	453
九月	452
化作	452
台湾	452
遭遇	452
人性	451
八月	451
电脑	450
命名	449
果子	448
等候	448
乡愁	447
集体	447
雪山	447
枝叶	446
疾病	445
梅花	444
诗意	444
哲学	443
水流	443
刀子	440
古代	440
机器	439
公路	438
涟漪	437
两岸	435
安宁	435
沙发	435
子宫	434
花儿	434
国度	433
民族	433
幽灵	432
老家	432
蚊子	432
花香	431
途中	431
天亮	429
作响	428
太多	428
一瞬	427
办公室	427
帽子	427
男子	427
栅栏	426
童话	426
闪光	426
风筝	425
上海	424
光辉	424
屋里	424
数字	424
答案	424
啤酒	423
庭院	423
时分	423
泥泞	423
心头	422
流星	422
用力	422
哥哥	421
狮子	421
蜡烛	421
家庭	420
旋律	420
菩萨	420
长江	420
苏醒	419
虚幻	419
铁轨	419
墓地	418
异乡	418
湿润	418
蝙蝠	418
诗集	418
向日葵	417
满地	417
草丛	417
面包	417
枝条	416
魔鬼	416
云彩	415
沙子	415
线条	415
和平	414
表面	414
本质	413
疫情	412
同学	411
房屋	411
背上	411
青蛙	411
乡下	410
张望	410
水草	410
江湖	410
苍蝇	410
勇气	409
积雪	409
莲花	409
道德	409
浑身	408
海面	408
高楼	407
右边	406
地板	406
念头	406
山中	405
山峰	405
麻木	405
仇恨	404
指尖	404
时辰	404
晚霞	404
男孩	404
丛林	403
楼下	403
儿女	402
溪水	402
村子	401
悲剧	400
水果	400
城里	399
块钱	398
梦幻	396
病毒	396
盲目	396
荒原	396
晚餐	395
经验	395
所有人	394
水声	394
迷人	394
天色	392
往往	391
裙子	391
镜头	391
墙角	390
小说	390
深秋	390
湖面	390
高山	390
城堡	389
外孙	389
昨晚	389
清风	389
容颜	386
蜘蛛	386
隐喻	386
事件	385
四肢	385
牛羊	385
洞穴	384
领导	384
大门	383
小妹	383
神话	383
香味	383
丈夫	382
上去	382
寒风	382
诗篇	382
问候	382
小径	381
钉子	381
小草	380
美国	380
脊背	380
血管	380
迷路	380
节日	379
荒野	379
陷阱	379
海底	378
鱼儿	378
原本	377
云层	376
仪式	375
土豆	375
地里	375
菊花	375
轮廓	375
十月	374
屋檐	374
河床	374
老头	374
比喻	372
罪恶	372
远山	372
青苔	372
烟雾	371
队伍	371
情节	370
日光	370
棉花	370
天黑	369
恋人	369
新生	369
瀑布	369
刚才	367
家伙	367
泉水	367
绿叶	367
记录	367
岸上	366
心上	366
文化	366
点儿	366
瞳孔	366
镰刀	366
双脚	365
天鹅	365
深情	365
视野	365
对岸	364
荆棘	364
陈旧	364
马车	364
人心	363
厕所	363
情况	363
白雪	363
礼物	363
树下	362
楼梯	362
涂抹	362
水底	360
画面	360
山河	359
我心	359
星球	359
无情	358
价值	357
背面	357
蔚蓝	357
伤感	356
全世界	356
思绪	356
大树	355
狂风	355
原因	353
杜甫	353
今儿	352
光影	352
昆虫	352
香烟	351
小河	350
能力	350
读书	350
鸡蛋	350
小姐	349
走廊	349
伤痕	348
叶片	348
火光	348
足迹	348
场景	347
指向	347
精灵	347
天涯	346
太久	345
层层	345
死神	345
指甲	343
编织	343
状态	342
角度	342
雷声	341
企图	340
水上	340
喜鹊	338
地铁	338
将来	338
满天	338
皇帝	338
话题	338
北风	337
绳子	337
土壤	336
脸颊	336
路口	336
众生	335
大道	335
源头	335
舌尖	335
雨声	335
冰雪	334
双腿	334
湖泊	334
美女	334
蜻蜓	333
青山	333
司机	331
峡谷	331
工人	331
麦田	331
新闻	330
日月	330
晨曦	330
装饰	330
钢铁	330
外婆	329
年纪	329
晨光	329
绳索	329
昔日	328
梨花	328
现代	328
静谧	328
力气	327
车轮	326
胳膊	325
胸前	325
鱼群	325
来时	324
枯叶	324
潮水	324
睫毛	324
跟前	324
柳树	323
隧道	323
黄土	323
客人	322
陆地	322
思索	321
液体	321
石子	321
老板	321
丝绸	320
浪费	320
夏季	319
山岗	319
山峦	319
肩上	319
花开	319
长安	319
马蹄	319
大学	318
彩色	318
狐狸	318
手势	317
水晶	317
生日	317
床单	316
河岸	316
红尘	316
蒲公英	316
车站	316
十字架	315
屋子里	315
祖母	315
世俗	314
关上	314
滋味	314
旅程	313
雨季	313
高潮	313
山林	312
手心	312
花草	312
草叶	312
大脑	311
心思	311
灯笼	311
裸体	311
传统	310
区别	310
枯枝	310
男女	310
白纸	310
肋骨	310
衣衫	310
一盏灯	309
冬季	309
大师	309
客厅	309
宫殿	309
宗教	308
